county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP
Baldwin County,BELFOREST COMM CTR_,399.0,1453.0,346.0,1497.0,345.0,,58.0,1433.0,346.0,,1481.0,158.0,4.0,964.0,327.0,1521.0
Baldwin County,BON SECOUR MORG CHAPEL,233.0,898.0,221.0,910.0,,,,936.0,211.0,,912.0,126.0,0.0,670.0,214.0,915.0
Baldwin County,BROMLEY VFD SUBST,221.0,467.0,203.0,483.0,188.0,,25.0,470.0,,,503.0,134.0,0.0,316.0,199.0,491.0
Baldwin County,CLEAR SPG FELLOWSHIP,4.0,124.0,4.0,123.0,5.0,,,122.0,,,123.0,2.0,0.0,89.0,4.0,123.0
Baldwin County,CROSSROADS DURANT,108.0,292.0,107.0,291.0,102.0,,6.0,286.0,,,305.0,74.0,0.0,196.0,106.0,292.0
Baldwin County,DAPHNE CIVIC CENTER,2075.0,2742.0,1887.0,2890.0,1725.0,,327.0,2729.0,1905.0,,2871.0,1083.0,15.0,1769.0,1860.0,2948.0
Baldwin County,DAPHNE HIGH SCHOOL,1398.0,2748.0,1256.0,2871.0,1123.0,,250.0,2754.0,1287.0,,2826.0,703.0,8.0,1861.0,1226.0,2914.0
Baldwin County,"DOUGLASVILLE, BOYKIN CTR",295.0,37.0,302.0,29.0,293.0,,,38.0,,,47.0,259.0,0.0,20.0,308.0,25.0
Baldwin County,ELBERTA CIVIC CENTER,244.0,1182.0,229.0,1188.0,48.0,,,1231.0,226.0,,1191.0,117.0,0.0,824.0,225.0,1198.0
Baldwin County,ELLISVILLE COMM_ CENTER,155.0,322.0,152.0,325.0,147.0,,,328.0,148.0,,327.0,115.0,0.0,227.0,148.0,329.0
Baldwin County,ELSANOR BETHAL BAPTIST,78.0,588.0,63.0,599.0,69.0,,,590.0,,,605.0,33.0,0.0,414.0,63.0,602.0
Baldwin County,FAIRHOPE -3 CIRCLE CHURCH,533.0,1709.0,493.0,1743.0,567.0,,,1661.0,483.0,,1731.0,239.0,0.0,1142.0,456.0,1782.0
Baldwin County,FAIRHOPE AVE_ BAPTIST,1050.0,2736.0,910.0,2853.0,1089.0,,1.0,2680.0,900.0,,2848.0,433.0,0.0,1891.0,853.0,2927.0
Baldwin County,FAIRHOPE CIVIC CENTER,1761.0,2890.0,1580.0,3032.0,1928.0,,0.0,2722.0,1617.0,,2993.0,834.0,1.0,1849.0,1490.0,3160.0
Baldwin County,FOLEY CIVIC CENTER,612.0,1300.0,582.0,1324.0,61.0,,,1375.0,565.0,,1317.0,378.0,0.0,911.0,569.0,1337.0
Baldwin County,FOLEY UNITED METHOIDIST,789.0,2205.0,713.0,2256.0,110.0,,,2341.0,730.0,,2239.0,460.0,0.0,1601.0,701.0,2286.0
Baldwin County,FT_ MORGAN VFD #1,111.0,287.0,93.0,303.0,,,,310.0,91.0,,305.0,49.0,0.0,207.0,86.0,311.0
Baldwin County,GATESWOOD VFD,20.0,187.0,21.0,183.0,23.0,,,182.0,,,187.0,9.0,0.0,131.0,20.0,188.0
Baldwin County,GULF SHORES CULTURAL CTR_,596.0,1887.0,527.0,1941.0,,,,2033.0,528.0,,1925.0,317.0,0.0,1417.0,503.0,1977.0
Baldwin County,JOSEPHINE VFD,62.0,358.0,60.0,359.0,,,,375.0,55.0,,365.0,26.0,0.0,270.0,53.0,367.0
Baldwin County,LILLIAN COMMUNITY,536.0,2090.0,528.0,2090.0,121.0,,,2129.0,429.0,,2089.0,302.0,0.0,1503.0,521.0,2098.0
Baldwin County,LITTLE RIVER VFD,34.0,106.0,31.0,106.0,32.0,,,106.0,,,108.0,25.0,0.0,66.0,31.0,109.0
Baldwin County,LOTTIE VFD,13.0,107.0,11.0,107.0,19.0,,,100.0,,,104.0,3.0,0.0,75.0,13.0,106.0
Baldwin County,LOXLEY CIVIC CENTER,131.0,587.0,113.0,602.0,119.0,,,597.0,43.0,,601.0,66.0,0.0,422.0,105.0,610.0
Baldwin County,MAG SPGS WESLEYAN CH_,619.0,1750.0,560.0,1796.0,592.0,,,1759.0,566.0,,1779.0,349.0,0.0,1315.0,559.0,1806.0
Baldwin County,MARLOW VFD,367.0,1109.0,340.0,1127.0,348.0,,,1110.0,332.0,,1129.0,182.0,0.0,774.0,324.0,1150.0
Baldwin County,MEYER'S CIVIC CENTER,719.0,1943.0,644.0,2009.0,,,,2128.0,645.0,,1999.0,359.0,0.0,1416.0,620.0,2040.0
Baldwin County,MIFLIN GRAHAM CREEK CTR_,347.0,1256.0,314.0,1282.0,,,,1340.0,319.0,,1277.0,173.0,0.0,1015.0,300.0,1303.0
Baldwin County,NEW LIFE ASSEMBLY OF GOD,907.0,2003.0,809.0,2085.0,737.0,,124.0,2034.0,416.0,,2157.0,443.0,9.0,1399.0,758.0,2163.0
Baldwin County,ORANGE BEACH COMM_,711.0,2945.0,584.0,3063.0,,,,3156.0,562.0,,3061.0,276.0,0.0,2241.0,538.0,3107.0
Baldwin County,PERDIDO BEACH VFD,79.0,368.0,68.0,376.0,,,,379.0,65.0,,379.0,34.0,0.0,276.0,68.0,376.0
Baldwin County,PERDIDO VOL_ FIRE DEPT_,68.0,423.0,61.0,423.0,67.0,,,416.0,,,430.0,36.0,0.0,286.0,63.0,423.0
Baldwin County,PINEGROVE VFD #1,133.0,547.0,149.0,531.0,146.0,,,528.0,,,559.0,99.0,0.0,371.0,138.0,544.0
Baldwin County,PROVISIONAL,101.0,324.0,90.0,334.0,25.0,,7.0,46.0,28.0,,52.0,56.0,0.0,283.0,87.0,337.0
Baldwin County,PT CLEAR ST FRANCIS,429.0,847.0,351.0,915.0,440.0,,,834.0,365.0,,901.0,229.0,0.0,564.0,341.0,935.0
Baldwin County,RABUN VFD,34.0,362.0,32.0,362.0,34.0,,,357.0,,,365.0,15.0,0.0,265.0,32.0,363.0
Baldwin County,ROBERTSDALE PZK HALL,381.0,1551.0,342.0,1583.0,376.0,,,1550.0,0.0,,1636.0,194.0,0.0,1090.0,326.0,1602.0
Baldwin County,ROSINTON METHODIST,161.0,1000.0,134.0,1018.0,146.0,,,1005.0,,,1042.0,61.0,0.0,686.0,130.0,1028.0
Baldwin County,SEMINOLE VFD,41.0,407.0,47.0,401.0,45.0,,,399.0,,,406.0,28.0,0.0,299.0,43.0,406.0
Baldwin County,SILVERHILL COMMUNITY CTR_,337.0,1452.0,288.0,1495.0,306.0,,,1469.0,294.0,,1480.0,160.0,0.0,1028.0,288.0,1497.0
Baldwin County,SPANISH FT CH OF CHRIST,331.0,1143.0,277.0,1190.0,222.0,,56.0,1181.0,293.0,,1170.0,125.0,3.0,796.0,255.0,1220.0
Baldwin County,SPANISH FT COMM_ CTR_,682.0,2062.0,568.0,2161.0,478.0,,145.0,2095.0,475.0,,2160.0,274.0,9.0,1391.0,542.0,2196.0
Baldwin County,STAPLETON VFD,102.0,799.0,81.0,815.0,84.0,,,815.0,,,827.0,36.0,0.0,573.0,70.0,831.0
Baldwin County,STOCKTON CIVIC BUILDING,32.0,325.0,21.0,333.0,26.0,,,326.0,,,330.0,14.0,0.0,233.0,21.0,336.0
Baldwin County,SUMMERDALE COMM_,256.0,1284.0,229.0,1304.0,240.0,,,1284.0,236.0,,1291.0,133.0,0.0,938.0,223.0,1314.0
Baldwin County,TENSAW VFD,84.0,31.0,85.0,30.0,85.0,,,30.0,,,29.0,77.0,0.0,24.0,84.0,31.0
Baldwin County,VAUGHN OLD VAUGHN SCHOOL,147.0,146.0,152.0,139.0,152.0,,,140.0,,,146.0,127.0,0.0,97.0,148.0,145.0
Baldwin County,WHITEHOUSE FORK,103.0,511.0,99.0,514.0,99.0,,,511.0,,,523.0,65.0,0.0,380.0,94.0,518.0
Barbour County,ABSENTEE,486.0,192.0,491.0,186.0,530.0,,,,542.0,,,347.0,,110.0,494.0,186.0
Barbour County,BAKERHILL TOWN HALL,122.0,196.0,123.0,191.0,171.0,,,,182.0,,,100.0,,118.0,125.0,193.0
Barbour County,BEVILL CENTER,186.0,622.0,184.0,617.0,306.0,,,,323.0,,,131.0,,382.0,182.0,622.0
Barbour County,BLUE SPRINGS CITY HALL,25.0,171.0,30.0,162.0,47.0,,,,62.0,,,17.0,,110.0,31.0,163.0
Barbour County,CLAYTON COURTHOUSE,396.0,279.0,414.0,247.0,483.0,,,,500.0,,,328.0,,125.0,428.0,245.0
Barbour County,CLIO CITY HALL,181.0,171.0,189.0,162.0,215.0,,,,233.0,,,159.0,,95.0,201.0,154.0
Barbour County,ELAMVILLE VOL_ FIRE,59.0,156.0,55.0,158.0,83.0,,,,92.0,,,46.0,,93.0,59.0,153.0
Barbour County,EUFAULA COMMUNITY CENTER,387.0,510.0,389.0,506.0,509.0,,,,530.0,,,311.0,,265.0,388.0,510.0
Barbour County,EUFAULA WATER BOARD,357.0,235.0,365.0,219.0,433.0,,,,439.0,,,312.0,,122.0,367.0,221.0
Barbour County,FELLOWSHIP BAPTIST,249.0,582.0,259.0,569.0,379.0,,,,397.0,,,188.0,,344.0,252.0,579.0
Barbour County,GREENS CROSSROADS,42.0,62.0,48.0,56.0,58.0,,,,59.0,,,38.0,,30.0,51.0,54.0
Barbour County,LOUISVILLE CITY HALL,247.0,201.0,253.0,182.0,301.0,,,,320.0,,,205.0,,86.0,261.0,177.0
Barbour County,MCCOO SCHOOL,552.0,270.0,562.0,261.0,625.0,,,,633.0,,,479.0,,154.0,559.0,265.0
Barbour County,MT_ ANDREW COMMUNITY CTR_,88.0,32.0,95.0,25.0,98.0,,,,103.0,,,88.0,,19.0,95.0,25.0
Barbour County,PROVISIONAL,52.0,26.0,51.0,27.0,57.0,,,,59.0,,,49.0,,13.0,52.0,25.0
Barbour County,SANFORD AVENUE GYM,392.0,360.0,399.0,347.0,498.0,,,,523.0,,,312.0,,161.0,397.0,351.0
Barbour County,SPRINGHILL VFD,171.0,102.0,170.0,101.0,198.0,,,,202.0,,,142.0,,41.0,167.0,103.0
Barbour County,TEXASVILLE COMMUNITY CTR_,51.0,169.0,49.0,167.0,92.0,,,,106.0,,,33.0,,86.0,53.0,165.0
Bibb County,ABSENTEE,41.0,155.0,38.0,157.0,14.0,,,139.0,37.0,,155.0,27.0,,125.0,35.0,159.0
Bibb County,ALTERNATIVE SCHOOL,374.0,1034.0,333.0,1065.0,,,,1087.0,329.0,,1071.0,260.0,,775.0,326.0,1070.0
Bibb County,BRENT CITY HALL,419.0,252.0,419.0,249.0,445.0,,,2.0,415.0,,255.0,374.0,,169.0,418.0,251.0
Bibb County,CENTREVILLE ROCK BLDG,203.0,647.0,172.0,675.0,127.0,,,471.0,161.0,,689.0,133.0,,488.0,167.0,682.0
Bibb County,EOLINE FIRE DEPT,83.0,434.0,78.0,436.0,82.0,,,94.0,78.0,,436.0,59.0,,324.0,71.0,444.0
Bibb County,GREENPOND FIRE DEPT,188.0,1084.0,146.0,1123.0,,,,1149.0,144.0,,1123.0,82.0,,821.0,136.0,1135.0
Bibb County,LAWLEY COMMUNITY CTR,68.0,270.0,58.0,280.0,,,,289.0,52.0,,283.0,39.0,,197.0,53.0,285.0
Bibb County,NATIONAL GUARD ARMORY,246.0,746.0,227.0,760.0,92.0,,,629.0,206.0,,782.0,177.0,,546.0,211.0,777.0
Bibb County,PROVISIONAL,3.0,0.0,1.0,2.0,1.0,,,2.0,0.0,,3.0,1.0,,1.0,0.0,3.0
Bibb County,SIX MILE COMMUNITY CTR,174.0,460.0,143.0,493.0,,,,509.0,136.0,,501.0,100.0,,336.0,142.0,493.0
Blount County,ABSENTEE,57.0,346.0,52.0,349.0,0.0,,,353.0,,,353.0,28.0,,267.0,49.0,354.0
Blount County,ALLGOOD TOWN HALL,50.0,316.0,38.0,332.0,,,,333.0,,,334.0,23.0,,232.0,36.0,333.0
Blount County,BLOUNT SPRINGS,41.0,211.0,38.0,213.0,,,,219.0,,,217.0,19.0,,168.0,34.0,216.0
Blount County,BLOUNTSVILLE,156.0,930.0,138.0,943.0,,,,951.0,,,949.0,85.0,,688.0,135.0,939.0
Blount County,BROOKSVILLE,28.0,291.0,19.0,300.0,,,,293.0,,,298.0,9.0,,213.0,11.0,305.0
Blount County,CLEVELAND,128.0,735.0,107.0,752.0,,,,747.0,,,746.0,77.0,,537.0,100.0,754.0
Blount County,DALLAS-SELFVILLE,104.0,832.0,87.0,849.0,,,,868.0,,,867.0,47.0,,655.0,73.0,863.0
Blount County,HAYDEN,242.0,1854.0,223.0,1872.0,,,,1908.0,,,1901.0,119.0,,1410.0,198.0,1887.0
Blount County,HOLLY SPRINGS,33.0,269.0,26.0,276.0,,,,289.0,,,287.0,10.0,,204.0,22.0,279.0
Blount County,LOCUST FORK,118.0,994.0,105.0,1002.0,,,,1017.0,,,1006.0,52.0,,757.0,98.0,1009.0
Blount County,MT_ HIGH,171.0,1435.0,129.0,1483.0,,,,1495.0,,,1503.0,68.0,,1157.0,133.0,1478.0
Blount County,MURPHREE VALLEY,69.0,417.0,60.0,425.0,,,,432.0,,,425.0,38.0,,320.0,55.0,427.0
Blount County,NECTAR,85.0,708.0,68.0,720.0,,,,714.0,,,715.0,45.0,,541.0,69.0,716.0
Blount County,ONEONTA,412.0,1490.0,345.0,1551.0,,,,1565.0,,,1561.0,236.0,,1110.0,330.0,1561.0
Blount County,PINE MOUNTAIN,42.0,339.0,38.0,343.0,,,,350.0,,,350.0,17.0,,267.0,33.0,348.0
Blount County,PROVISIONAL,3.0,9.0,3.0,10.0,0.0,,,10.0,,,10.0,0.0,,0.0,3.0,10.0
Blount County,REMLAP,126.0,709.0,96.0,732.0,,,,739.0,,,741.0,62.0,,523.0,98.0,728.0
Blount County,ROCK SPRINGS,42.0,345.0,34.0,351.0,34.0,,,347.0,,,357.0,14.0,,271.0,32.0,352.0
Blount County,ROSA,68.0,519.0,57.0,532.0,,,,527.0,,,532.0,27.0,,386.0,53.0,536.0
Blount County,ROYAL,48.0,249.0,45.0,248.0,,,,251.0,,,250.0,20.0,,181.0,41.0,249.0
Blount County,SMOKE RISE,123.0,889.0,93.0,916.0,,,,928.0,,,928.0,39.0,,703.0,93.0,920.0
Blount County,SNEAD COMMUNITY CTR,87.0,782.0,87.0,785.0,,,,791.0,,,799.0,42.0,,567.0,67.0,802.0
Blount County,ST_ MOUNTAIN,97.0,1097.0,71.0,1125.0,,,,1120.0,,,1117.0,37.0,,869.0,75.0,1115.0
Blount County,SUGAR CREEK BANGOR,35.0,350.0,27.0,356.0,,,,358.0,,,351.0,14.0,,277.0,23.0,357.0
Blount County,SUMMIT,44.0,275.0,38.0,281.0,39.0,,,279.0,,,285.0,28.0,,216.0,45.0,273.0
Blount County,SUSAN MOORE,70.0,593.0,58.0,602.0,,,,602.0,,,602.0,28.0,,467.0,51.0,609.0
Bullock County,ABERFOIL,124.0,37.0,125.0,36.0,133.0,,,,133.0,,,114.0,,19.0,128.0,33.0
Bullock County,ABSENTEE,141.0,49.0,143.0,48.0,158.0,,,,158.0,,,118.0,,21.0,145.0,46.0
Bullock County,CORINTH,11.0,20.0,11.0,20.0,10.0,,,,14.0,,,8.0,,12.0,10.0,22.0
Bullock County,CORNERSTONE,169.0,68.0,170.0,65.0,175.0,,,,178.0,,,152.0,,43.0,172.0,61.0
Bullock County,FITZPATRICK,64.0,127.0,61.0,130.0,76.0,,,,83.0,,,46.0,,78.0,69.0,120.0
Bullock County,GUERRYTON,57.0,5.0,58.0,4.0,58.0,,,,58.0,,,57.0,,4.0,57.0,5.0
Bullock County,INDIAN CREEK,59.0,26.0,60.0,25.0,61.0,,,,62.0,,,56.0,,20.0,60.0,25.0
Bullock County,INVERNESS,33.0,51.0,35.0,49.0,49.0,,,,52.0,,,33.0,,22.0,45.0,39.0
Bullock County,MIDWAY,357.0,23.0,365.0,17.0,366.0,,,,367.0,,,338.0,,13.0,363.0,20.0
Bullock County,PEACHBURG,59.0,21.0,68.0,12.0,66.0,,,,69.0,,,57.0,,6.0,64.0,15.0
Bullock County,PEROTE,41.0,60.0,43.0,58.0,47.0,,,,55.0,,,34.0,,31.0,50.0,52.0
Bullock County,POST OAK,79.0,134.0,78.0,135.0,95.0,,,,101.0,,,68.0,,78.0,85.0,129.0
Bullock County,PROVISIONAL,0.0,2.0,0.0,2.0,0.0,,,,0.0,,,0.0,,2.0,1.0,1.0
Bullock County,SARDIS,78.0,17.0,77.0,18.0,78.0,,,,82.0,,,74.0,,8.0,78.0,17.0
Bullock County,THOMPSON,63.0,31.0,64.0,29.0,67.0,,,,75.0,,,55.0,,15.0,67.0,24.0
Bullock County,THREE NOTCH,95.0,16.0,96.0,15.0,95.0,,,,95.0,,,90.0,,13.0,96.0,15.0
Bullock County,UNION SPRINGS ARMORY,1299.0,262.0,1335.0,226.0,1379.0,,,,1389.0,,,1186.0,,128.0,1340.0,226.0
Butler County,ABSENTEE,321.0,280.0,314.0,266.0,303.0,,,292.0,307.0,184.0,,261.0,,56.0,318.0,271.0
Butler County,BOLLING-VOTING HOUSE,33.0,69.0,32.0,67.0,31.0,,,71.0,34.0,42.0,,23.0,,24.0,36.0,66.0
Butler County,CENTER HILL-VOTING HOUSE,78.0,55.0,80.0,53.0,77.0,,,55.0,77.0,39.0,,62.0,,15.0,75.0,56.0
Butler County,CENTRAL VOL_ FIRE DEPT_,183.0,248.0,188.0,236.0,178.0,,,249.0,192.0,172.0,,126.0,,56.0,210.0,219.0
Butler County,CHAPMAN POST OFFICE,24.0,108.0,22.0,103.0,18.0,,,114.0,22.0,72.0,,9.0,,27.0,36.0,91.0
Butler County,DUNBAR COMMUNITY CTR_,621.0,193.0,651.0,155.0,627.0,,,182.0,640.0,131.0,,435.0,,27.0,646.0,168.0
Butler County,FOREST HOME - VOTING HOUS,26.0,90.0,23.0,91.0,23.0,,,90.0,26.0,69.0,,18.0,,16.0,30.0,85.0
Butler County,FRIENDSHIP OLD SCHOOL,8.0,114.0,7.0,109.0,9.0,,,108.0,8.0,80.0,,1.0,,24.0,13.0,105.0
Butler County,GARLAND-VOTING HOUSE,70.0,165.0,64.0,165.0,66.0,,,167.0,70.0,129.0,,45.0,,38.0,90.0,144.0
Butler County,GREENVILLE POLICE DEPT_,522.0,572.0,524.0,556.0,510.0,,,578.0,515.0,453.0,,347.0,,103.0,554.0,530.0
Butler County,HARRISON - VOTING HOUSE,27.0,175.0,25.0,173.0,18.0,,,184.0,26.0,121.0,,13.0,,59.0,29.0,173.0
Butler County,HEALTH DEPARTMENT,383.0,711.0,398.0,682.0,363.0,,,727.0,372.0,543.0,,239.0,,117.0,425.0,664.0
Butler County,INDUSTRY,11.0,114.0,10.0,113.0,10.0,,,115.0,7.0,74.0,,3.0,,26.0,14.0,108.0
Butler County,MANNINGHAM - VOTING HOUSE,101.0,119.0,99.0,114.0,94.0,,,123.0,95.0,80.0,,67.0,,33.0,113.0,103.0
Butler County,MIDWAY - VOTING HOUSE,56.0,150.0,62.0,144.0,64.0,,,143.0,61.0,111.0,,39.0,,27.0,68.0,139.0
Butler County,MONTEREY - OLD SCHOOL HOU,26.0,23.0,28.0,21.0,27.0,,,21.0,24.0,21.0,,19.0,,3.0,28.0,21.0
Butler County,McKENZIE TOWN HALL,88.0,216.0,84.0,211.0,86.0,,,216.0,86.0,146.0,,74.0,,56.0,105.0,194.0
Butler County,McLAINS - VOTING HOUSE,88.0,356.0,99.0,336.0,88.0,,,353.0,103.0,247.0,,64.0,,61.0,127.0,315.0
Butler County,PROVIDENCE-VOTING HOUSE,130.0,275.0,122.0,279.0,105.0,,,297.0,115.0,203.0,,73.0,,64.0,143.0,263.0
Butler County,PROVISIONAL,5.0,6.0,2.0,9.0,4.0,,,7.0,2.0,8.0,,4.0,,1.0,6.0,5.0
Butler County,ROCKY CREEK-VOTING HOUSE,42.0,227.0,35.0,230.0,33.0,,,235.0,38.0,167.0,,23.0,,48.0,55.0,207.0
Butler County,SEARCY - VOLUNTEER FIRE,45.0,127.0,43.0,123.0,42.0,,,130.0,43.0,88.0,,35.0,,28.0,49.0,119.0
Butler County,SR_ MUTLI PURPOSE CTR_,452.0,299.0,478.0,263.0,461.0,,,287.0,477.0,184.0,,340.0,,68.0,496.0,253.0
Butler County,STEINER'S STORE,23.0,120.0,20.0,118.0,20.0,,,126.0,20.0,77.0,,15.0,,31.0,27.0,115.0
Calhoun County,1ST UNITED METH_ - WEAVER,443.0,1290.0,428.0,1307.0,422.0,,,1303.0,532.0,,1184.0,230.0,,827.0,434.0,1299.0
Calhoun County,ABSENTEE,342.0,640.0,331.0,646.0,302.0,,,659.0,341.0,,638.0,221.0,,523.0,335.0,646.0
Calhoun County,ALEXANDRIA CIVITAN CLUB,331.0,1413.0,311.0,1417.0,312.0,,,1412.0,382.0,,1336.0,183.0,,932.0,340.0,1401.0
Calhoun County,ANGEL FIRE STATION,121.0,440.0,114.0,446.0,119.0,,,443.0,144.0,,408.0,63.0,,315.0,124.0,432.0
Calhoun County,ANNISTON 1ST PRSBY_ CHU_,106.0,142.0,102.0,143.0,111.0,,,129.0,110.0,,138.0,54.0,,69.0,109.0,138.0
Calhoun County,ANNISTON CARVER CENTER,208.0,9.0,214.0,3.0,209.0,,,3.0,214.0,,3.0,192.0,,3.0,206.0,10.0
Calhoun County,ANNISTON GOLDEN SPRINGS,816.0,1455.0,759.0,1491.0,750.0,,,1485.0,811.0,,1436.0,459.0,,958.0,782.0,1479.0
Calhoun County,ANNISTON MEETING CTR_,1563.0,504.0,1572.0,485.0,1581.0,,,474.0,1569.0,,493.0,1204.0,,303.0,1566.0,496.0
Calhoun County,ANNISTON THANKFUL BAPT_,257.0,34.0,259.0,29.0,264.0,,,26.0,260.0,,30.0,219.0,,18.0,258.0,30.0
Calhoun County,ASBERRY BAPTIST CHURCH,122.0,636.0,108.0,644.0,117.0,,,632.0,146.0,,603.0,44.0,,425.0,120.0,635.0
Calhoun County,A_P_ HOLLINGSWORTH CC,113.0,611.0,94.0,628.0,83.0,,,634.0,126.0,,590.0,45.0,,412.0,92.0,635.0
Calhoun County,BETTA VIEW CHURCH CHRIST,332.0,918.0,303.0,943.0,,,,996.0,327.0,,917.0,183.0,,670.0,311.0,939.0
Calhoun County,BOILING SPRINGS BAPT_ CH_,60.0,337.0,48.0,345.0,50.0,,,343.0,63.0,,326.0,23.0,,229.0,61.0,333.0
Calhoun County,BYNUM COMMUNITY CTR_,350.0,1156.0,345.0,1160.0,7.0,,,1201.0,370.0,,1129.0,231.0,,854.0,346.0,1159.0
Calhoun County,CALHOUN CO_ HWY_ DEPT_,31.0,23.0,34.0,20.0,34.0,,,20.0,34.0,,20.0,23.0,,13.0,34.0,19.0
Calhoun County,CHOCCOLOCCO COMM_ CTR_,212.0,787.0,190.0,798.0,194.0,,,789.0,231.0,,757.0,116.0,,557.0,193.0,802.0
Calhoun County,DEARMANVILLE UNITED METH_,146.0,491.0,116.0,512.0,109.0,,,514.0,129.0,,498.0,58.0,,321.0,126.0,502.0
Calhoun County,EAGLEPOINT CHURCH,490.0,674.0,478.0,685.0,474.0,,,693.0,541.0,,627.0,274.0,,421.0,490.0,679.0
Calhoun County,EULATON UNITED METHODIST,118.0,407.0,117.0,407.0,129.0,,,386.0,111.0,,412.0,68.0,,290.0,107.0,417.0
Calhoun County,FRIENDSHIP BAPTIST CHURCH,127.0,615.0,119.0,617.0,124.0,,,612.0,174.0,,550.0,53.0,,420.0,122.0,618.0
Calhoun County,FRIENDSHIP COMM_ CENTER,297.0,931.0,267.0,962.0,274.0,,,945.0,309.0,,916.0,154.0,,613.0,275.0,955.0
Calhoun County,GLENWOOD MEADOWS MTG_ RM_,452.0,529.0,437.0,538.0,440.0,,,540.0,488.0,,485.0,310.0,,347.0,446.0,533.0
Calhoun County,GOD'S COVENANT MINISTRY,185.0,241.0,184.0,241.0,184.0,,,239.0,191.0,,236.0,155.0,,180.0,184.0,242.0
Calhoun County,HOBSON CITY - CITY HALL,253.0,34.0,256.0,31.0,257.0,,,30.0,249.0,,39.0,216.0,,20.0,250.0,36.0
Calhoun County,HOPE COMM_ CENTER,71.0,257.0,71.0,258.0,73.0,,,253.0,83.0,,245.0,45.0,,182.0,76.0,254.0
